timestamp,pipeline_segment,station,meter_id,sensor_id,flow_in,flow_out,pressure,temperature,meter_reading,loss_litres,status,anomaly,anomaly_type
2026-07-15 21:09:56.984909,B08,Eldoret Depot,f87149c3-4a90-46fa-9cf4-522b4ad14fb3,SNS-22776,9750,9730,40.35,30.27,874237.78,20,NORMAL,False,No Anomaly
2026-07-15 21:14:56.984909,A12,Nakuru Depot,edeee36a-cc7c-45cf-9540-72ad9c5d3541,SNS-12938,9819,9796,44.18,29.83,873032.28,23,NORMAL,False,No Anomaly
2026-07-15 21:19:56.984909,B08,Eldoret Depot,519170ba-309b-4354-bd3f-5fd9e19fcbba,SNS-32779,9782,9762,44.38,24.33,844200.33,20,NORMAL,False,No Anomaly
2026-07-15 21:24:56.984909,B08,Nakuru Depot,9034aed1-1627-4b09-bbd3-35c12a772cfd,SNS-60118,9788,9410,42.29,30.56,644598.62,378,ALERT,True,Illegal Tapping
2026-07-15 21:29:56.984909,D14,Nakuru Depot,b00fdc29-f492-4954-a733-c2e10f6c30a1,SNS-89784,9731,9718,43.22,24.97,738540.28,13,NORMAL,False,No Anomaly
2026-07-15 21:34:56.984909,A13,Mombasa Terminal,7dccda26-a54f-475f-8ed5-2fed1376de60,SNS-25041,9740,9719,41.58,24.78,585311.08,21,NORMAL,False,No Anomaly
2026-07-15 21:39:56.984909,B08,Nakuru Depot,1115528e-e74c-4542-9515-0b6711e5947b,SNS-70919,10085,10084,43.98,27.62,819136.24,1,NORMAL,False,No Anomaly
2026-07-15 21:44:56.984909,C03,Mombasa Terminal,e0d5bc41-112f-4314-b100-78e6cfc8bfdd,SNS-47187,9745,9745,43.17,26.48,786299.99,0,NORMAL,False,No Anomaly
2026-07-15 21:49:56.984909,B08,Kisumu Depot,7fb38262-e4b8-4c3d-b54b-e821a0ba3c9b,SNS-38073,9969,9961,43.42,31.22,678679.33,8,NORMAL,False,No Anomaly
2026-07-15 21:54:56.984909,A13,Nakuru Depot,fa689959-58b8-416a-b286-4cdc3939d4ed,SNS-00915,9861,9843,42.14,27.82,592093.22,18,NORMAL,False,No Anomaly
2026-07-15 21:59:56.984909,B07,Kisumu Depot,6d656bb7-9653-4e25-a8a6-0293d2ed2254,SNS-92991,10044,10019,43.62,27.74,592028.08,25,NORMAL,False,No Anomaly
2026-07-15 22:04:56.984909,C03,Nakuru Depot,a1c90460-83e3-4983-9a48-7c6bacf73416,SNS-68011,9707,9698,42.98,25.26,827998.69,9,NORMAL,False,No Anomaly
2026-07-15 22:09:56.984909,C03,Nairobi Terminal,7a6716b5-a87f-4ca4-bcac-c4e71834e2fe,SNS-75608,10123,10099,40.56,28.47,587916.54,24,NORMAL,False,No Anomaly
